捕获开始时间: 2025-04-18 17:32:33
过滤条件: 无
----------------------------------------
捕获时间        | 源IP           | 目的IP        | 协议          | 源端口 | 目的端口 | 数据包大小
-------------------+-----------------+-----------------+-----------------+--------+--------+------------
2025-04-18 17:32:34 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 234       
2025-04-18 17:32:34 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:34 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:34 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:34 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:34 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 226       
2025-04-18 17:32:34 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:34 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 162       
2025-04-18 17:32:34 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 170       
2025-04-18 17:32:34 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:34 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:34 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:34 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 178       
2025-04-18 17:32:34 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 178       
2025-04-18 17:32:34 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 426       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 146       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 146       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 154       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 458       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 194       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 566       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 170       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 186       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 162       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 322       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 338       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 210       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 426       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 54        
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 162       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 186       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 178       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 154       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 162       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 186       
2025-04-18 17:32:35 | 111.42.148.165  | 10.1.219.177    | IPv4/TCP        | 40447 | 22    | 186       
2025-04-18 17:32:35 | 10.1.219.177    | 111.42.148.165  | IPv4/TCP        | 22    | 40447 | 54        
